{ 02 E0 17 19 46 0C 00 00 1F 00 }, Delta:5.984ms, Position:[6423,3142], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 16 19 45 0C 00 00 1F 00 }, Delta:5.969ms, Position:[6422,3141], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 18 19 44 0C 00 00 1F 00 }, Delta:8.185ms, Position:[6424,3140], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 18 19 42 0C 00 00 1F 00 }, Delta:7.806ms, Position:[6424,3138], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 1B 19 40 0C 00 00 1F 00 }, Delta:6.034ms, Position:[6427,3136], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 1C 19 40 0C 00 00 1F 00 }, Delta:8.094ms, Position:[6428,3136], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 1F 19 3F 0C 00 00 1F 00 }, Delta:8.093ms, Position:[6431,3135], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 1E 19 3D 0C 00 00 1F 00 }, Delta:7.893ms, Position:[6430,3133], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 23 19 3F 0C 00 00 1F 00 }, Delta:8.393ms, Position:[6435,3135], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 23 19 3E 0C 00 00 1F 00 }, Delta:5.483ms, Position:[6435,3134], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 25 19 3D 0C 00 00 1F 00 }, Delta:11.371ms, Position:[6437,3133], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 24 19 3D 0C 00 00 1F 00 }, Delta:4.533ms, Position:[6436,3133], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 24 19 3C 0C 00 00 1F 00 }, Delta:7.972ms, Position:[6436,3132], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 23 19 3E 0C 00 00 1F 00 }, Delta:6.191ms, Position:[6435,3134], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 25 19 3E 0C 00 00 1F 00 }, Delta:8.036ms, Position:[6437,3134], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 27 19 3E 0C 00 00 1F 00 }, Delta:7.823ms, Position:[6439,3134], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 29 19 3E 0C 00 00 1F 00 }, Delta:8.197ms, Position:[6441,3134], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 2A 19 40 0C 00 00 1F 00 }, Delta:7.308ms, Position:[6442,3136], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
